statenm,year,per_total,per_hhkid,per_hhnokid,per_hheld,per_hhdis,per_hhearn,per_total_fail,per_hhkid_fail,per_hhnokid_fail,per_hheld_fail,per_hhdis_fail,per_hhearn_fail,per_total_fail_pctoftotal,per_hhkid_fail_pctofhhkid,per_hhnokid_fail_pctofhhnokid,per_hheld_fail_pctofhheld,per_hhdis_fail_pctofhhdis,per_hhearn_fail_pctofhhearn,per_hhkid_fail_pctoffail,per_hhnokid_fail_pctoffail,per_hheld_fail_pctoffail,per_hhdis_fail_pctoffail,per_hhearn_fail_pctoffail
United States,2015,45184060.238,30783791.27,14400268.968,5502800.5064,8348645.7627,19968695.997,1834867.2015,1225886.9479,608980.25366,304670.65217,200350.3191,1442603.8121,4.06,3.98,4.23,5.54,2.4,7.22,66.81,33.19,16.6,10.92,78.62
Alabama,2015,885842.87149,632529.84624,253313.02525,94692.576744,198593.03379,357078.47388,3888.6951413,1584.6660455,2304.0290958,0,904.35077812,3888.6951413,0.44,0.25,0.91,0,0.46,1.09,40.75,59.25,0,23.26,100
Alaska,2015,80882.888344,59905.005233,20977.883111,9729.6240894,10623.82295,30780.200053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,986001.15353,736206.46148,249794.69205,100265.81482,114483.01116,484799.71319,62185.232589,49228.37598,12956.856609,7724.1458617,2363.876269,55523.961249,6.31,6.69,5.19,7.7,2.06,11.45,79.16,20.84,12.42,3.8,89.29
Arkansas,2015,455775.40127,326170.84255,129604.55872,47287.538894,117504.80475,182340.39482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2015,4346007.1332,3233236.2238,1112770.9094,212397.45627,48791.95006,2161791.5359,151563.76985,108992.90488,42570.864976,27976.792569,2905.694202,108368.67297,3.49,3.37,3.83,13.17,5.96,5.01,71.91,28.09,18.46,1.92,71.5
Colorado,2015,489172.5668,360227.91566,128944.65114,50280.270536,73663.087723,233830.0266,4479.2611688,4195.6454457,283.61572314,0,283.61572314,4195.6454457,0.92,1.16,0.22,0,0.39,1.79,93.67,6.33,0,6.33,93.67
Connecticut,2015,436660.55999,249101.41389,187559.14611,62535.427672,81885.142038,167301.95309,35106.072537,24747.902273,10358.170264,1364.6727227,2525.7169784,31597.621751,8.04,9.93,5.52,2.18,3.08,18.89,70.49,29.51,3.89,7.19,90.01
Delaware,2015,146982.40059,105368.35233,41614.048259,13509.592183,26203.523789,63732.710499,11668.127051,7745.0194681,3923.1075826,2015.1462613,1446.4868922,8342.1302142,7.94,7.35,9.43,14.92,5.52,13.09,66.38,33.62,17.27,12.4,71.5
District of Columbia,2015,140329.77771,81584.089249,58745.688464,15538.599671,26573.027962,36560.514085,6671.8528708,3138.4830304,3533.3698404,1419.0060128,588.01159776,5282.5571632,4.75,3.85,6.01,9.13,2.21,14.45,47.04,52.96,21.27,8.81,79.18
Florida,2015,3654279.8178,2191867.463,1462412.3549,587534.46876,640811.28617,1491180.453,233925.08775,169235.94256,64689.145184,26509.083691,23072.853015,198430.2269,6.4,7.72,4.42,4.51,3.6,13.31,72.35,27.65,11.33,9.86,84.83
Georgia,2015,1789103.22,1261305.1152,527798.10477,194696.78984,316540.48932,774331.53312,34289.248956,9684.2918363,24604.95712,19995.910589,3635.98503,12190.79743,1.92,0.77,4.66,10.27,1.15,1.57,28.24,71.76,58.32,10.6,35.55
Guam,2015,46442.475039,39282.052534,7160.4225048,4327.4269291,1538.5296038,28260.515447,5284.627638,4376.2456028,908.38203523,497.1118083,154.52313217,4956.3555576,11.38,11.14,12.69,11.49,10.04,17.54,82.81,17.19,9.41,2.92,93.79
Hawaii,2015,184663.58467,118586.6123,66076.972379,27813.31337,26396.997583,98339.953254,9750.4317631,8006.5761306,1743.8556325,381.94408291,72.363561994,9310.6504719,5.28,6.75,2.64,1.37,0.27,9.47,82.12,17.88,3.92,0.74,95.49
Idaho,2015,194234.19228,149419.20284,44814.989438,18275.205169,38806.840018,112737.50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2015,2009512.7956,1300273.5462,709239.24937,249866.79048,319763.52797,818092.89475,35502.449416,11437.745766,24064.70365,18682.215259,14028.169126,5639.28165,1.77,0.88,3.39,7.48,4.39,0.69,32.22,67.78,52.62,39.51,15.88
