year,state,per_total,per_hhkid,per_hhnokid,per_total_fail_pctoftotal
2015,AL,885842.8714899999,632529.84624,253313.02525,0.44
2015,AK,80882.888344,59905.005233,20977.883111000003,0.0
2015,AZ,986001.1535299999,736206.46148,249794.69205,6.31
2015,AR,455775.40127,326170.84255,129604.55872,0.0
2015,CA,4346007.1332,3233236.2238,1112770.9094,3.49
2015,CO,489172.5668,360227.91566,128944.65114000002,0.92
2015,CT,436660.55999,249101.41389,187559.14611,8.04
2015,DE,146982.40059,105368.35233,41614.048258999996,7.94
2015,DC,140329.77771,81584.089249,58745.688464,4.75
2015,FL,3654279.8178,2191867.463,1462412.3549,6.4
2015,GA,1789103.22,1261305.1152,527798.10477,1.92
2015,HI,184663.58467,118586.6123,66076.972379,5.28
2015,ID,194234.19228,149419.20284,44814.989438,0.0
2015,IL,2009512.7956,1300273.5462,709239.24937,1.77
2015,IN,812145.61568,596738.0749100001,215407.54077,0.05
2015,IA,387158.71572,267426.81117,119731.90455,8.38
2015,KS,273154.96324,205147.77517,68007.188071,0.0
2015,KY,758389.0567,517674.27043999993,240714.78626,0.29
2015,LA,855140.5944,634491.4720899999,220649.12230999998,0.09
2015,ME,199689.04113,124942.04745,74746.993678,9.06
2015,MD,771259.20181,506237.81367,265021.38814,8.38
2015,MA,767254.5438399999,430817.69681000005,336436.84703,6.67
2015,MI,1564718.8681,966068.30803,598650.56005,5.1
2015,MN,476299.78663999995,327459.0742,148840.71244,7.2
2015,MS,633218.7620600001,433500.73831000004,199718.02375,0.1
2015,MO,840313.8588899999,588731.67598,251582.18291,0.0
2015,MT,114924.52615,80061.69657999999,34862.829569,2.99
2015,NE,171735.4712,127887.24083,43848.23037,0.0
2015,NV,408077.1735,270928.42463,137148.74887,6.85
2015,NH,102271.34795,70816.913105,31454.434845999996,7.91
2015,NJ,899456.90785,609017.23537,290439.67247,5.81
2015,NM,443198.30613000004,326171.22028,117027.08585,2.77
2015,NY,2970945.5088,1670499.0933,1300446.4156,2.12
2015,NC,1610902.0099,1099772.0176,511129.99227,8.23
2015,ND,52275.802939999994,38031.631154,14244.171786,6.2
2015,OH,1645588.3743,1134132.555,511455.81928999996,2.69
2015,OK,584147.3481899999,428934.59647,155212.75172,0.0
2015,OR,771586.42567,440126.31158000004,331460.11409,10.29
2015,PA,1820709.656,1184966.2524,635743.40357,5.22
2015,RI,172793.91408,101169.79686,71624.117214,6.72
2015,SC,797964.1190300001,578349.72735,219614.39168000003,0.5
2015,SD,98064.184399,73083.41143,24980.772969,1.19
2015,TN,1215141.7349,817857.7984,397283.93646999996,0.0
2015,TX,3702603.8639999996,2997836.8421,704767.02189,6.58
2015,UT,222963.37315,181695.5974,41267.775759,0.17
2015,VT,84343.138063,51081.848427,33261.289636,11.86
2015,VI,27230.084613,20145.732371000002,7084.3522413,6.09
2015,VA,840138.78005,610309.6805100001,229829.09955,0.0
2015,WA,1058307.1051,659472.24789,398834.85725,6.97
2015,WV,360797.28383000003,234926.41844,125870.86537999999,3.19
2015,WI,791509.7690000001,507394.33452,284115.43448,9.67
2015,WY,31750.183213999997,24822.745774000003,6927.4374394,0.0
2016,AL,843884.3281,596013.08143,247871.24667,0.46
2016,AK,82257.823016,60135.204664,22122.618352,0.0
