statenm,year,ben_total,ben_hhkid,ben_hhnokid,ben_hheld,ben_hhdis,ben_hhearn,ben_total_fail,ben_hhkid_fail,ben_hhnokid_fail,ben_hheld_fail,ben_hhdis_fail,ben_hhearn_fail,ben_total_fail_pctoftotal,ben_hhkid_fail_pctofhhkid,ben_hhnokid_fail_pctofhhnokid,ben_hheld_fail_pctofhheld,ben_hhdis_fail_pctofhhdis,ben_hhearn_fail_pctofhhearn,ben_hhkid_fail_pctoffail,ben_hhnokid_fail_pctoffail,ben_hheld_fail_pctoffail,ben_hhdis_fail_pctoffail,ben_hhearn_fail_pctoffail
United States,2015,5667679989.9,3737089698.3,1930590291.6,558621124.27,867437539.95,2147360891.2,50161388.925,39965860.03,10195528.895,3716458.2035,2321589.477,45331742.227,0.89,1.07,0.53,0.67,0.27,2.11,79.67,20.33,7.41,4.63,90.37
Alabama,2015,110402101.62,79615309.917,30786791.701,7778239.3656,20275824.761,39195555.209,49454.761837,19825.10253,29629.659307,0,7234.8062249,49454.761837,0.04,0.02,0.1,0,0.04,0.13,40.09,59.91,0,14.63,100
Alaska,2015,13933053.89,10454639.815,3478414.0752,1239163.3418,1080596.2494,5039602.3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,118174215.41,86546781.386,31627434.02,7779159.0401,10542746.607,49715679.334,2014554.6652,1818542.4982,196012.16694,85233.458942,37822.020303,1929042.1773,1.7,2.1,0.62,1.1,0.36,3.88,90.27,9.73,4.23,1.88,95.76
Arkansas,2015,51912947.468,37245088.695,14667858.773,2690126.3743,10276314.628,18355073.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2015,606912636.05,423290836.14,183621799.92,24566682.7,3013483.9701,255732961.75,2515074.9775,1993341.4264,521733.55103,284835.63586,23245.553616,2058378.9249,0.41,0.47,0.28,1.16,0.77,0.8,79.26,20.74,11.33,0.92,81.84
Colorado,2015,63249065.006,45793302.012,17455762.994,5034105.2057,7973101.0726,27541052.317,306326.65178,301788.80021,4537.8515702,0,4537.8515702,301788.80021,0.48,0.66,0.03,0,0.06,1.1,98.52,1.48,0,1.48,98.52
Connecticut,2015,59316825.56,30233563.354,29083262.207,8541295.0383,11105102.489,17542148.258,1240945.2051,936466.10461,304479.10047,12772.885916,22101.030277,1208467.5014,2.09,3.1,1.05,0.15,0.2,6.89,75.46,24.54,1.03,1.78,97.38
Delaware,2015,18566568.749,13033234.968,5533333.7806,1202155.3306,2948761.0961,6832739.6661,413675.54285,321772.23314,91903.309712,24080.90342,15002.173526,362030.09176,2.23,2.47,1.66,2,0.51,5.3,77.78,22.22,5.82,3.63,87.52
District of Columbia,2015,17647276.403,9895734.1454,7751542.2574,1577757.5924,2123621.2612,3279382.7047,100942.51247,52451.473949,48491.038518,18416.693542,6587.2947257,79998.773978,0.57,0.53,0.63,1.17,0.31,2.44,51.96,48.04,18.24,6.53,79.25
Florida,2015,470937097.17,262700217.63,208236879.54,62313428.994,68667205.57,158857806.51,6789294.4509,5461367.6129,1327926.838,273231.07946,287657.3378,6410607.4859,1.44,2.08,0.64,0.44,0.42,4.04,80.44,19.56,4.02,4.24,94.42
Georgia,2015,225390807.88,157909747.17,67481060.709,15625926.241,32559486.532,85477268.555,499627.26907,182619.64161,317007.62746,242565.03789,45908.20774,223421.57618,0.22,0.12,0.47,1.55,0.14,0.26,36.55,63.45,48.55,9.19,44.72
Guam,2015,8729570.5787,7238052.5949,1491517.9838,781835.86064,263172.54657,4614946.8131,419699.85251,358682.7926,61017.059909,17898.089219,10816.619252,402301.42345,4.81,4.96,4.09,2.29,4.11,8.72,85.46,14.54,4.26,2.58,95.85
Hawaii,2015,40760658.365,25286143.922,15474514.444,5594863.2042,5060650.6606,19680204.418,1065124.9402,968962.84551,96162.094702,8489.2735752,1953.8161738,1046380.8216,2.61,3.83,0.62,0.15,0.04,5.32,90.97,9.03,0.8,0.18,98.24
Idaho,2015,22307000.508,17265864.998,5041135.5104,1525561.6036,3882960.5296,11968929.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2015,266508776.27,167325739.92,99183036.345,27328801.965,34022978.21,95095435.855,428136.08503,97515.227957,330620.85707,250711.93513,149074.36783,64273.136927,0.16,0.06,0.33,0.92,0.44,0.07,22.78,77.22,58.56,34.82,15.01
Indiana,2015,98963425.127,71772693.561,27190731.567,5160710.5913,17733859.477,40829630.046,6107.9226382,0,6107.9226382,0,6107.9226382,6107.9226382,0.01,0,0.02,0,0.03,0.01,0,100,0,100,100
Iowa,2015,41487186.842,28476207.648,13010979.194,2460333.8908,5395568.1477,17862888.445,652653.60751,464778.43145,187875.17605,56148.706724,33644.749773,584100.0673,1.57,1.63,1.44,2.28,0.62,3.27,71.21,28.79,8.6,5.16,89.5
Kansas,2015,30999230.258,23458278.991,7540951.2667,1832787.904,6438534.9129,13051689.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
