statenm,year,hh_total,hh_hhkid,hh_hhnokid,hh_hheld,hh_hhdis,hh_hhearn,hh_total_fail,hh_hhkid_fail,hh_hhnokid_fail,hh_hheld_fail,hh_hhdis_fail,hh_hhearn_fail,hh_total_fail_pctoftotal,hh_hhkid_fail_pctofhhkid,hh_hhnokid_fail_pctofhhnokid,hh_hheld_fail_pctofhheld,hh_hhdis_fail_pctofhhdis,hh_hhearn_fail_pctofhhearn,hh_hhkid_fail_pctoffail,hh_hhnokid_fail_pctoffail,hh_hheld_fail_pctoffail,hh_hhdis_fail_pctoffail,hh_hhearn_fail_pctoffail
United States,2015,22293170.551,9519490.0835,12773680.467,4360888.3719,4497695.2961,7095362.3988,917992.36507,426070.36374,491922.00132,230412.73347,123748.72831,621882.40599,4.12,4.48,3.85,5.28,2.75,8.76,46.41,53.59,25.1,13.48,67.74
Alabama,2015,416304.30201,196969.0741,219335.22792,67762.304489,101933.16589,125935.85707,2644.1867295,792.33302275,1851.8537067,0,452.17538906,2644.1867295,0.64,0.4,0.84,0,0.44,2.1,29.97,70.03,0,17.1,100
Alaska,2015,34057.360048,15617.312149,18440.047899,6623.6537038,5316.6725865,8551.3881429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,436182.0954,216075.10607,220106.98932,73849.019368,62334.888094,160741.88768,28799.06353,17824.617991,10974.445539,4600.244677,2363.876269,23246.626589,6.6,8.25,4.99,6.23,3.79,14.46,61.89,38.11,15.97,8.21,80.72
Arkansas,2015,209106.52923,96852.791875,112253.73736,33535.013682,53757.691326,59430.500185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2015,2070146.5215,1108413.0287,961733.49282,156766.21782,26011.856627,808475.19673,73288.46889,42127.062563,31161.406326,17802.227241,1452.847101,46830.791361,3.54,3.8,3.24,11.36,5.59,5.79,57.48,42.52,24.29,1.98,63.9
Colorado,2015,230444.91309,111351.89792,119093.01516,42155.498084,40150.271476,81191.487626,1297.3988312,1013.7831081,283.61572314,0,283.61572314,1013.7831081,0.56,0.91,0.24,0,0.71,1.25,78.14,21.86,0,21.86,78.14
Connecticut,2015,245814.04521,77191.96588,168622.07933,53902.343722,51341.64423,65435.837039,15422.148553,7862.5618758,7559.5866769,798.30536973,1381.3143923,13392.292075,6.27,10.19,4.48,1.48,2.69,20.47,50.98,49.02,5.18,8.96,86.84
Delaware,2015,70865.821023,33771.430124,37094.390899,10063.9417,13499.513688,23758.622245,5879.4049929,2760.7475981,3118.6573948,1505.0564637,612.83935137,3638.0646241,8.3,8.17,8.41,14.95,4.54,15.31,46.96,53.04,25.6,10.42,61.88
District of Columbia,2015,79467.833188,25724.564537,53743.26865,13567.373253,15464.024027,15377.598467,4125.8398321,1095.1499247,3030.6899074,1151.0433463,411.70592035,2816.8561765,5.19,4.26,5.64,8.48,2.66,18.32,26.54,73.46,27.9,9.98,68.27
Florida,2015,2007708.8783,704653.36208,1303055.5162,454418.79448,337655.52128,559532.25151,108795.92017,58870.844965,49925.075206,17076.942466,11237.811976,85127.984855,5.42,8.35,3.83,3.76,3.33,15.21,54.11,45.89,15.7,10.33,78.25
Georgia,2015,834199.55594,381838.61894,452360.937,145415.56443,143540.01038,265330.00798,23699.738168,3886.7614515,19812.976716,15160.314868,2869.2629838,6436.8823621,2.84,1.02,4.38,10.43,2,2.43,16.4,83.6,63.97,12.11,27.16
Guam,2015,15390.019553,10073.702419,5316.3171344,2634.4538814,592.19549914,7831.4076471,1697.3853743,1177.9151692,519.47020502,226.82763039,51.507710724,1577.8661397,11.03,11.69,9.77,8.61,8.7,20.15,69.4,30.6,13.36,3.03,92.96
Hawaii,2015,93655.019276,35140.576672,58514.442603,22951.108635,14469.970485,36347.247436,3729.848022,2169.9338249,1559.9141972,314.41753982,72.363561994,3290.0667308,3.98,6.18,2.67,1.37,0.5,9.05,58.18,41.82,8.43,1.94,88.21
Idaho,2015,82952.980139,42402.381675,40550.598464,14343.202629,21171.203032,35765.660032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2015,1047485.8061,406957.70987,640528.09624,210012.13635,173622.96633,312578.14175,26066.188985,5402.385418,20663.803567,15669.495945,9317.1479891,3324.7547287,2.49,1.33,3.23,7.46,5.37,1.06,20.73,79.27,60.11,35.74,12.76
Indiana,2015,372245.82976,175306.2701,196939.55966,52142.446975,95080.293232,127707.95184,381.74516489,0,381.74516489,0,381.74516489,381.74516489,0.1,0,0.19,0,0.4,0.3,0,100,0,100,100
Iowa,2015,183113.67271,78621.866538,104491.80617,28224.537241,36523.860343,76612.66244,15542.438582,5785.7944378,9756.6441444,3548.7461625,2102.7968608,11218.390327,8.49,7.36,9.34,12.57,5.76,14.64,37.23,62.77,22.83,13.53,72.18
Kansas,2015,121520.50714,58296.964399,63223.542746,19900.588086,35890.197194,42337.09939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2015,362807.87772,154380.24521,208427.63251,60982.019279,103297.08907,93072.396959,1322.2894949,568.41566253,753.87383235,753.87383235,0,568.41566253,0.36,0.37,0.36,1.24,0,0.61,42.99,57.01,57.01,0,42.99
Louisiana,2015,387451.51071,189809.6673,197641.84341,66800.209991,94903.943191,115749.18248,403.18704287,403.18704287,0,0,0,403.18704287,0.1,0.21,0,0,0,0.35,100,0,0,0,100
Maine,2015,104115.25083,37653.413114,66461.837719,25665.880905,36070.81421,27890.808617,8815.6125182,3461.9134089,5353.6991093,2782.6140799,1262.029119,5247.5613791,8.47,9.19,8.06,10.84,3.5,18.81,39.27,60.73,31.56,14.32,59.53
Maryland,2015,402042.48421,163250.75634,238791.72787,77659.51762,76506.377991,123906.67273,31037.783536,16787.889171,14249.894365,6738.7574138,2384.6920985,22954.549858,7.72,10.28,5.97,8.68,3.12,18.53,54.09,45.91,21.71,7.68,73.96
Massachusetts,2015,442404.54586,140336.99332,302067.55253,130369.31049,133943.00358,91824.325988,22411.25734,14922.6875,7488.5698391,4924.7872529,2734.4558317,15420.25151,5.07,10.63,2.48,3.78,2.04,16.79,66.59,33.41,21.97,12.2,68.81
Michigan,2015,822068.33693,281636.05728,540432.27965,162847.86396,212758.95505,234646.8743,42517.359466,12233.096384,30284.263082,11072.871275,5179.4146337,27382.933411,5.17,4.34,5.6,6.8,2.43,11.67,28.77,71.23,26.04,12.18,64.4
Minnesota,2015,233110.9303,97610.891407,135500.0389,49812.661179,60706.192601,81674.518552,13801.212365,7863.2182299,5937.9941351,2183.6104951,2185.083171,9427.3093913,5.92,8.06,4.38,4.38,3.6,11.54,56.97,43.03,15.82,15.83,68.31
Mississippi,2015,294653.74311,125773.41653,168880.32658,52047.995839,64951.349692,73702.198836,326.40168202,326.40168202,0,0,0,326.40168202,0.11,0.26,0,0,0,0.44,100,0,0,0,100
Missouri,2015,396514.70303,173221.32582,223293.37722,65153.915466,103153.68183,98950.085372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2015,54284.058241,23204.402647,31079.655594,9633.7526863,13178.65146,17163.560821,1655.4430657,852.09626951,803.3467962,73.160229894,0,1582.2828358,3.05,3.67,2.58,0.76,0,9.22,51.47,48.53,4.42,0,95.58
Nebraska,2015,76881.360559,36994.225297,39887.135263,13783.372703,19813.137914,25607.86037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2015,206545.53486,85248.657571,121296.87729,40435.636207,32683.228251,76274.072756,16062.978254,4337.4234483,11725.554806,4924.8445139,2854.040841,10074.434277,7.78,5.09,9.67,12.18,8.73,13.21,27,73,30.66,17.77,62.72
New Hampshire,2015,49970.635778,21151.078029,28819.557748,9853.1402667,20722.439932,14632.140037,2587.3761368,2587.3761368,0,0,319.86280279,2421.9953571,5.18,12.23,0,0,1.54,16.55,100,0,0,12.36,93.61
New Jersey,2015,451715.40189,196549.03735,255166.36455,127185.71799,98024.093438,119502.32446,24505.925392,13448.298372,11057.627021,4030.7584197,3078.6303392,15869.30055,5.43,6.84,4.33,3.17,3.14,13.28,54.88,45.12,16.45,12.56,64.76
New Mexico,2015,200006.03895,96572.952957,103433.08599,35729.712285,34639.646818,75528.679728,4653.5194787,3136.5048836,1517.014595,0,0,4653.5194787,2.33,3.25,1.47,0,0,6.16,67.4,32.6,0,0,100
New York,2015,1637830.9597,508595.3031,1129235.6565,548599.38122,400586.95256,437297.16245,36492.540526,15462.070592,21030.469934,15275.370763,9649.8969782,21430.595191,2.23,3.04,1.86,2.78,2.41,4.9,42.37,57.63,41.86,26.44,58.73
North Carolina,2015,792935.73997,344484.87319,448450.86678,135850.20245,159043.82134,284938.79712,75966.236769,26511.901202,49454.335567,24470.890961,9555.9592465,50979.790872,9.58,7.7,11.03,18.01,6.01,17.89,34.9,65.1,32.21,12.58,67.11
North Dakota,2015,24494.488588,11151.696351,13342.792237,6042.2089539,5725.4774742,8366.926531,1390.4381631,1012.9072342,377.53092885,0,0,1291.7186849,5.68,9.08,2.83,0,0,15.44,72.85,27.15,0,0,92.9
Ohio,2015,803518.89151,344902.14601,458616.7455,160219.12706,222157.48516,238905.76688,29895.12429,3122.5819831,26772.542306,14608.052726,12335.623434,5979.5849914,3.72,0.91,5.84,9.12,5.55,2.5,10.45,89.55,48.86,41.26,20
Oklahoma,2015,266028.35905,125528.08999,140500.26906,45579.694654,66543.853024,80762.418164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2015,439261.43891,137152.84783,302108.59108,89621.639902,81156.398292,152367.18383,40788.333924,13800.763064,26987.57086,10179.530498,2967.5188691,29370.122777,9.29,10.06,8.93,11.36,3.66,19.28,33.84,66.16,24.96,7.28,72.01
Pennsylvania,2015,916918.51117,357177.51287,559740.9983,206414.34123,267982.90123,265511.16647,53643.85404,21823.587867,31820.266173,13273.562959,8312.5077312,38339.723918,5.85,6.11,5.68,6.43,3.1,14.44,40.68,59.32,24.74,15.5,71.47
Rhode Island,2015,100039.53152,33490.939168,66548.59235,26032.147063,25158.248885,25615.550124,5813.2680039,3434.0489328,2379.2190711,766.40311169,548.74005699,4420.5968077,5.81,10.25,3.58,2.94,2.18,17.26,59.07,40.93,13.18,9.44,76.04
South Carolina,2015,376476.83077,180783.29116,195693.53961,64646.151192,70558.275617,123037.16204,3283.3994428,310.76555798,2972.6338849,1975.9807011,645.94876019,350.70442357,0.87,0.17,1.52,3.06,0.92,0.29,9.46,90.54,60.18,19.67,10.68
South Dakota,2015,42952.736532,20207.778375,22744.958158,6763.877785,10673.275611,15599.311832,385.38008296,385.38008296,0,0,0,385.38008296,0.9,1.91,0,0,0,2.47,100,0,0,0,100
Tennessee,2015,605551.88136,251407.72326,354144.15809,105181.90075,124271.68903,169569.56722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,2015,1549616.2837,907902.26635,641714.01733,305146.64659,332397.24188,643215.01215,93338.840188,70170.28105,23168.559138,10222.673239,11525.017469,84674.37798,6.02,7.73,3.61,3.35,3.47,13.16,75.18,24.82,10.95,12.35,90.72
Utah,2015,87235.710295,48797.744744,38437.965551,12691.719349,15637.211239,35054.37,191.43447574,191.43447574,0,0,0,191.43447574,0.22,0.39,0,0,0,0.55,100,0,0,0,100
Vermont,2015,44757.262789,14869.703742,29887.559047,13179.13337,13303.119744,12434.929382,3711.3986777,2605.4426295,1105.9560481,400.74478659,68.762780608,3162.795091,8.29,17.52,3.7,3.04,0.52,25.43,70.2,29.8,10.8,1.85,85.22
Virgin Islands,2015,12484.57929,6312.4696757,6172.1096144,2503.6286753,670.01833519,5464.3169662,868.61495321,433.70030004,434.91465317,282.17890668,142.3648543,539.60416139,6.96,6.87,7.05,11.27,21.25,9.88,49.93,50.07,32.49,16.39,62.12
Virginia,2015,394988.12615,190757.91742,204230.20872,86871.622122,90850.796586,127343.95358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2015,567834.43842,204144.07492,363690.3635,95361.071198,126209.84194,176741.4293,39948.589073,17989.756189,21958.832884,5497.2534164,4600.3017513,28867.910549,7.04,8.81,6.04,5.76,3.64,16.33,45.03,54.97,13.76,11.52,72.26
West Virginia,2015,179930.07236,72470.831393,107459.24097,32229.627413,51051.938261,49344.99292,6760.4839082,2053.6184121,4706.8654961,2891.8320745,1133.9238955,3121.9165742,3.76,2.83,4.38,8.97,2.22,6.33,30.38,69.62,42.78,16.77,46.18
Wisconsin,2015,401551.57298,153429.39766,248122.17532,79863.655671,97045.585899,155401.65754,44044.306951,15063.72463,28980.582321,15229.360106,9272.9432572,27503.716004,10.97,9.82,11.68,19.07,9.56,17.7,34.2,65.8,34.58,21.05,62.45
Wyoming,2015,13529.033176,7271.7321286,6257.3010472,1861.6899147,2962.6132931,5324.2170642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2016,21511004.7,9224727.4878,12286277.212,4681125.9653,4367377.378,6878205.8016,1049759.3367,376289.73975,673469.59692,347338.86914,135481.87745,593273.1347,4.88,4.08,5.48,7.42,3.1,8.63,35.85,64.15,33.09,12.91,56.52
Alabama,2016,397069.98348,183407.64142,213662.34206,73804.708017,105488.47142,110851.82595,2715.5013269,490.5353718,2224.9659551,741.02902267,311.44111977,2301.9931249,0.68,0.27,1.04,1,0.3,2.08,18.06,81.94,27.29,11.47,84.77
Alaska,2016,34581.146296,15354.918037,19226.228259,7311.6822125,5061.1359221,9069.4986307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2016,417423.19747,194128.78632,223294.41115,69417.813562,54496.552634,151557.76859,20955.814305,11594.168418,9361.6458873,5015.4082472,0,16397.666408,5.02,5.97,4.19,7.22,0,10.82,55.33,44.67,23.93,0,78.25
Arkansas,2016,186238.68161,87683.798752,98554.882858,32478.758722,47689.63204,56614.54614,154.67854104,154.67854104,0,0,0,154.67854104,0.08,0.18,0,0,0,0.27,100,0,0,0,100
California,2016,2059670.159,1064022.7255,995647.43352,252953.42306,36458.888079,819948.23638,76800.546006,30634.411479,46166.134527,4887.9092461,5510.0919607,56217.820926,3.73,2.88,4.64,1.93,15.11,6.86,39.89,60.11,6.36,7.17,73.2
Colorado,2016,223796.00923,102763.59195,121032.41729,52615.678678,37782.898346,76219.801234,939.58163255,343.47643789,596.10519466,0,275.1259843,618.60242218,0.42,0.33,0.49,0,0.73,0.81,36.56,63.44,0,29.28,65.84
Connecticut,2016,243860.84582,78619.735725,165241.11009,66861.645931,54368.142321,69972.566533,18990.24915,7394.071353,11596.177797,5415.7963246,2744.864404,11830.218134,7.79,9.4,7.02,8.1,5.05,16.91,38.94,61.06,28.52,14.45,62.3
Delaware,2016,68878.139933,31344.691066,37533.448867,15130.238953,13327.556792,22989.735602,6629.6697568,2581.8046655,4047.8650913,2191.5152247,958.91966261,4061.3627042,9.63,8.24,10.78,14.48,7.2,17.67,38.94,61.06,33.06,14.46,61.26
District of Columbia,2016,75165.79683,24391.365192,50774.431638,14948.903845,17413.769597,12668.136464,3974.9975549,611.3374993,3363.6600556,1215.7001775,520.29717509,2080.6664797,5.29,2.51,6.62,8.13,2.99,16.42,15.38,84.62,30.58,13.09,52.34
Florida,2016,1870739.0833,703618.57945,1167120.5039,550166.62973,319497.62569,518918.04787,107821.45619,43233.31787,64588.138317,28751.531598,21159.48265,73905.458514,5.76,6.14,5.53,5.23,6.62,14.24,40.1,59.9,26.67,19.62,68.54
Georgia,2016,796916.16301,387748.01817,409168.14484,145061.86724,168811.18937,259963.57682,30990.434306,6705.3746936,24285.059613,16398.961657,2945.6495029,15788.455442,3.89,1.73,5.94,11.3,1.74,6.07,21.64,78.36,52.92,9.51,50.95
Guam,2016,15412.046172,9986.4795684,5425.5666033,2558.9032,983.54044665,7818.9445669,1310.8363574,1032.7467605,278.08959689,108.83142838,30.836761401,1228.3952204,8.51,10.34,5.13,4.25,3.14,15.71,78.79,21.21,8.3,2.35,93.71
Hawaii,2016,88510.980572,31115.097532,57395.88304,24839.619398,17239.562851,32064.989034,2967.7984633,2040.4354579,927.36300538,288.05995125,74.032103156,2798.6363253,3.35,6.56,1.62,1.16,0.43,8.73,68.75,31.25,9.71,2.49,94.3
Idaho,2016,78569.938558,39729.734679,38840.203878,15523.076859,20689.698115,31272.77705,348.62508603,254.4263476,94.198738435,94.198738435,207.62178461,141.00330143,0.44,0.64,0.24,0.61,1,0.45,72.98,27.02,27.02,59.55,40.45
Illinois,2016,987256.20424,390360.40884,596895.7954,184275.71204,196778.94691,300564.67667,26981.251084,6907.4480881,20073.802996,11515.623202,7497.3214403,9985.569863,2.73,1.77,3.36,6.25,3.81,3.32,25.6,74.4,42.68,27.79,37.01
Indiana,2016,318798.23284,150527.04848,168271.18436,53415.365833,84396.902695,108141.31224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2016,175295.68521,76963.08327,98332.601943,29413.416868,38714.37671,72389.0971,15037.785744,6902.2806605,8135.5050831,3381.7324341,2270.5847107,10438.117076,8.58,8.97,8.27,11.5,5.86,14.42,45.9,54.1,22.49,15.1,69.41
Kansas,2016,112825.38372,53663.910253,59161.473471,21681.239945,32927.233621,38516.047971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2016,308642.38582,135836.91594,172805.46988,55864.698617,82662.444364,73836.6555,1152.1179404,887.79855088,264.31938955,873.97157897,0,278.14636146,0.37,0.65,0.15,1.56,0,0.38,77.06,22.94,75.86,0,24.14
Louisiana,2016,404560.76907,182709.59746,221851.17161,80348.770627,95974.450754,109982.21865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2016,97197.701329,33930.486024,63267.215305,26617.614967,33950.24956,25537.17311,8051.8801102,3213.7891424,4838.0909677,2590.4044649,1779.4767201,4054.0716354,8.28,9.47,7.65,9.73,5.24,15.88,39.91,60.09,32.17,22.1,50.35
Maryland,2016,386137.19838,155333.56355,230803.63483,84204.36532,72429.925749,113093.04758,35366.40849,13919.280381,21447.128108,7451.4037145,4069.411052,21168.25041,9.16,8.96,9.29,8.85,5.62,18.72,39.36,60.64,21.07,11.51,59.85
Massachusetts,2016,443831.33848,141105.55925,302725.77923,139525.53568,131026.61401,96174.390873,36179.634961,22140.027093,14039.607868,9315.4968924,2746.2124595,24004.016505,8.15,15.69,4.64,6.68,2.1,24.96,61.19,38.81,25.75,7.59,66.35
Michigan,2016,768917.79953,268653.41508,500264.38445,157212.40444,192238.91346,251303.32276,56225.305782,20834.579729,35390.726054,17168.017555,7058.4565984,36080.214601,7.31,7.76,7.07,10.92,3.67,14.36,37.06,62.94,30.53,12.55,64.17
Minnesota,2016,227196.577,94560.820884,132635.75612,48484.038546,54483.008969,83443.849501,16670.357826,8681.9865355,7988.37129,2100.2457884,3273.3673845,12947.039189,7.34,9.18,6.02,4.33,6.01,15.52,52.08,47.92,12.6,19.64,77.67
Mississippi,2016,267615.53635,126065.70982,141549.82652,47604.629568,67405.39174,75453.314229,238.53482643,0,238.53482643,0,0,238.53482643,0.09,0,0.17,0,0,0.32,0,100,0,0,100
Missouri,2016,375465.20563,168362.01921,207103.18642,60591.445313,109403.12794,94400.026995,1250.5063543,1250.5063543,0,0,0,1250.5063543,0.33,0.74,0,0,0,1.32,100,0,0,0,100
Montana,2016,53987.47853,23523.221959,30464.256572,10325.118303,13591.674858,18663.4117,2329.5629396,1264.9053226,1064.657617,0,166.76734218,2248.3680183,4.32,5.38,3.49,0,1.23,12.05,54.3,45.7,0,7.16,96.51
Nebraska,2016,77793.916819,37257.310055,40536.606764,13534.848599,19324.602992,27485.616804,363.24233035,363.24233035,0,0,150.26548687,363.24233035,0.47,0.97,0,0,0.78,1.32,100,0,0,41.37,100
Nevada,2016,219053.24227,83501.068584,135552.17369,45817.988652,28254.775029,80487.443862,20202.213627,6438.2862665,13763.92736,7418.4164731,2236.5456076,11676.013542,9.22,7.71,10.15,16.19,7.92,14.51,31.87,68.13,36.72,11.07,57.8
New Hampshire,2016,47102.558563,19973.885962,27128.672601,9687.5799517,17996.671807,13808.239789,2607.6589147,2607.6589147,0,0,197.28196981,2410.3769449,5.54,13.06,0,0,1.1,17.46,100,0,0,7.57,92.43
New Jersey,2016,439216.10182,200197.94227,239018.15955,122545.32527,90478.61132,120544.40194,26235.124311,11953.180418,14281.943893,7487.6220329,4446.361719,15051.124854,5.97,5.97,5.98,6.11,4.91,12.49,45.56,54.44,28.54,16.95,57.37
New Mexico,2016,209873.24445,99421.400611,110451.84384,39931.85606,37414.898617,79089.773605,4749.8594264,2323.0103669,2426.8490595,218.4339405,0,4504.640778,2.26,2.34,2.2,0.55,0,5.7,48.91,51.09,4.6,0,94.84
New York,2016,1625112.2359,563228.52539,1061883.7105,565185.30519,404967.86198,419106.56365,48900.207643,25140.29948,23759.908163,18356.770094,7506.5613466,24693.872349,3.01,4.46,2.24,3.25,1.85,5.89,51.41,48.59,37.54,15.35,50.5
North Carolina,2016,750493.08237,346716.64803,403776.43434,149897.62787,129980.76135,284026.9799,54990.844671,20550.912423,34439.932248,18325.132295,7230.2252821,35769.401889,7.33,5.93,8.53,12.23,5.56,12.59,37.37,62.63,33.32,13.15,65.05
North Dakota,2016,24823.128413,10941.94096,13881.187453,5581.1630767,5916.17919,8620.6155806,1001.1557083,814.58990133,186.565807,0,0,1001.1557083,4.03,7.44,1.34,0,0,11.61,81.36,18.64,0,0,100
Ohio,2016,779427.23056,304149.41218,475277.81838,149791.70914,230115.17804,228529.36821,26537.320256,3596.7161954,22940.604061,13677.323155,12241.133067,7944.0744856,3.4,1.18,4.83,9.13,5.32,3.48,13.55,86.45,51.54,46.13,29.94
Oklahoma,2016,271764.54914,126487.52318,145277.02596,52751.306008,68600.652752,81992.435939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2016,416530.60999,116828.53275,299702.07724,101836.58587,88885.419461,126380.20046,39472.564983,12262.044895,27210.520088,13708.67945,5491.5957769,22497.912276,9.48,10.5,9.08,13.46,6.18,17.8,31.06,68.94,34.73,13.91,57
Pennsylvania,2016,944461.85725,355226.20886,589235.64839,243819.38231,252646.49365,302323.70142,71134.337688,19055.961817,52078.375871,27557.571409,11677.153588,42951.404601,7.53,5.36,8.84,11.3,4.62,14.21,26.79,73.21,38.74,16.42,60.38
Rhode Island,2016,98820.470407,29943.390555,68877.079852,25306.255722,27673.175352,27485.462507,6666.8460163,2975.6770857,3691.1689307,1340.381561,757.21887119,4663.3286161,6.75,9.94,5.36,5.3,2.74,16.97,44.63,55.37,20.11,11.36,69.95
South Carolina,2016,357267.91513,165934.39243,191333.5227,74902.111349,80517.811302,105210.56059,4631.2609024,2927.2253133,1704.0355891,1704.0355891,2042.0534294,1741.6653563,1.3,1.76,0.89,2.28,2.54,1.66,63.21,36.79,36.79,44.09,37.61
South Dakota,2016,41835.94865,19537.77861,22298.17004,7741.6246516,9189.0429035,14687.906044,178.92777994,178.92777994,0,0,0,178.92777994,0.43,0.92,0,0,0,1.22,100,0,0,0,100
Tennessee,2016,542589.1898,221138.15322,321451.03658,103203.19786,114188.80143,144022.05896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,2016,1575637.9178,913713.26002,661924.65778,321260.57301,267167.57804,643662.59486,172846.49579,29653.481059,143193.01473,96398.206442,2597.5517587,42787.129339,10.97,3.25,21.63,30.01,0.97,6.65,17.16,82.84,55.77,1.5,24.75
Utah,2016,84442.492472,45909.361923,38533.130549,13779.340222,17930.07891,31255.954639,184.78212768,98.729204653,86.052923029,0,86.052923029,98.729204653,0.22,0.22,0.22,0,0.48,0.32,53.43,46.57,0,46.57,53.43
Vermont,2016,42902.353333,14559.340319,28343.013014,12948.978283,12988.621795,12934.487633,3130.3889346,2157.0873425,973.30159206,338.22322538,0,2645.613808,7.3,14.82,3.43,2.61,0,20.45,68.91,31.09,10.8,0,84.51
Virgin Islands,2016,13068,6116.396638,6951.603362,2985.5818637,578.60727547,5439.2789167,1062.873717,656.43795418,406.43576281,210.82408135,0,956.14858912,8.13,10.73,5.85,7.06,0,17.58,61.76,38.24,19.84,0,89.96
Virginia,2016,374168.36512,182169.74136,191998.62375,81456.007453,94673.228291,123135.66693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2016,543978.54919,178416.04579,365562.5034,103609.35671,134483.5241,168047.93752,39337.345161,19867.994016,19469.351145,4463.2176345,7895.0396244,30225.771136,7.23,11.14,5.33,4.31,5.87,17.99,50.51,49.49,11.35,20.07,76.84
West Virginia,2016,174632.33268,71098.473828,103533.85886,35412.456085,48646.077621,41029.422702,7447.8898967,2202.1039504,5245.7859463,3769.4566825,1918.2823516,3256.3915878,4.26,3.1,5.07,10.64,3.94,7.94,29.57,70.43,50.61,25.76,43.72
